Code,Company,Price,Change,Volume,Value,Captilisation
MCY,Mercury NZ Limited (NS),$5.645,-$0.005 / -0.09%,"4,596","$25,944.44","$7,824,014,945"
MFB,My Food Bag Group Limited,$0.390,$0.000 / 0.00%,"4,302","$1,677.78","$94,550,634"
EMF,Smartshares Emerging Markets ETF,$1.311,$0.016 / 1.24%,"10,563","$13,800.92","$160,622,612"
USF,Smartshares US 500 ETF,$11.108,$0.098 / 0.89%,"38,896","$429,049.69","$466,113,829"
SPN,South Port New Zealand Limited,$8.110,$0.240 / 3.05%,"111","$903.91","$212,765,023"
PYS,PaySauce Limited,$0.290,-$0.005 / -1.69%,"1,330","$385.70","$40,268,548"
PPH,Pushpay Holdings Limited,$1.290,$0.000 / 0.00%,"618,994","$798,502.27","$1,472,890,420"
DGL,Delegat Group Limited,$9.600,-$0.200 / -2.04%,"113","$1,084.80","$970,849,843"
ERD,EROAD Limited,$0.910,$0.000 / 0.00%,"26","$24.08","$102,491,855"
SAN,Sanford Limited (NS),$4.230,$0.050 / 1.20%,"1,947","$8,144.36","$395,530,960"
EBO,Ebos Group Limited,$45.400,-$0.200 / -0.44%,"1,828","$82,943.45","$8,654,955,893"
FCT,F&C Investment Trust PLC,$17.400,$0.000 / 0.00%,"0","$0.00","$9,020,366,294"
SKO,Serko Limited,$2.300,$0.010 / 0.44%,"2,024","$4,655.11","$277,018,953"
SNC,Southern Charter Financial Group Limited,$0.006,$0.000 / 0.00%,"0","$0.00","$3,089,367"
TWF,Smartshares Total World ETF,$2.793,$0.016 / 0.58%,"77,891","$215,541.89","$259,062,503"
PGW,PGG Wrightson Limited,$4.640,-$0.020 / -0.43%,"1,530","$7,099.18","$350,246,145"
EUF,Smartshares Europe ETF,$1.860,$0.010 / 0.54%,"7,004","$12,998.13","$193,544,227"
KFL,Kingfish Limited,$1.390,-$0.010 / -0.71%,"8,832","$12,299.55","$455,525,706"
THL,Tourism Holdings Limited,$3.650,$0.010 / 0.27%,"2,243","$8,166.37","$781,149,191"
GFL,Geneva Finance Limited,$0.430,$0.000 / 0.00%,"0","$0.00","$31,362,168"
ARG,Argosy Property Limited,$1.175,$0.000 / 0.00%,"16,110","$18,932.32","$994,900,577"
CNU,Chorus Limited (NS),$8.110,-$0.025 / -0.31%,"216","$1,751.52","$3,595,956,685"
IKE,ikeGPS Group Limited,$0.940,$0.020 / 2.17%,"3,002","$2,821.88","$150,147,840"
IFT,Infratil Limited,$8.600,-$0.050 / -0.58%,"11,783","$101,340.42","$6,226,258,805"
JLG,Just Life Group Limited,$0.400,$0.000 / 0.00%,"1","$0.40","$39,454,242"
SKL,Skellerup Holdings Limited,$5.360,$0.020 / 0.37%,"4,346","$23,333.68","$1,050,943,680"
VCT,Vector Limited (NS),$4.200,$0.030 / 0.72%,"19,162","$79,887.71","$4,200,000,000"
DIV,Smartshares NZ Dividend ETF,$1.219,$0.011 / 0.91%,"11,529","$14,053.85","$87,045,390"
SUM,Summerset Group Holdings Limited,$9.210,-$0.010 / -0.11%,"892","$8,215.19","$2,137,796,594"
FRE,Freightways Limited,$9.500,-$0.020 / -0.21%,"503","$4,777.87","$1,685,597,901"
RUA,Rua Bioscience Limited,$0.200,$0.000 / 0.00%,"12,072","$2,414.40","$31,603,853"
USS,Smartshares US Small Cap ETF,$5.727,$0.000 / 0.00%,"0","$0.00","$75,388,573"
TWH,Smartshares Total World (NZD Hedged) ETF,$2.880,$0.058 / 2.06%,"40,028","$115,280.67","$56,951,680"
SKC,SkyCity Entertainment Group Limited (NS),$2.560,$0.000 / 0.00%,"9,271","$23,733.76","$1,946,125,335"
BIT,The Bankers Investment Trust Plc,$1.940,$0.000 / 0.00%,"0","$0.00","$2,510,443,296"
NZK,New Zealand King Salmon Investments Limited,$0.215,$0.000 / 0.00%,"1,489","$320.14","$116,412,763"
JPN,Smartshares Japan Equities ESG ETF,$1.917,$0.000 / 0.00%,"26","$50.18","$23,137,883"
KPG,Kiwi Property Group Limited,$0.920,-$0.010 / -1.08%,"120,125","$111,410.20","$1,445,477,824"
BOT,Smartshares Automation and Robotics ETF,$3.674,$0.014 / 0.38%,"691","$2,537.57","$45,413,914"
SML,Synlait Milk Limited (NS),$3.590,$0.020 / 0.56%,"133","$475.67","$784,708,163"
NZB,Smartshares NZ Bond ETF,$2.854,$0.000 / 0.00%,"221","$631.74","$331,455,218"
CDI,CDL Investments New Zealand Limited,$0.710,$0.000 / 0.00%,"8,589","$6,098.19","$205,053,465"
TWR,Tower Limited,$0.730,-$0.005 / -0.68%,"829","$604.62","$277,023,311"
MEE,Me Today Limited,$0.009,-$0.001 / -10.00%,"311,492","$2,803.42","$11,502,120"
MPG,Metro Performance Glass Limited,$0.185,$0.000 / 0.00%,"8,756","$1,619.85","$34,294,946"
ASP,Smartshares Australian Property ETF,$1.363,$0.000 / 0.00%,"110","$150.81","$52,199,535"
EMG,Smartshares Emerging Markets Equities ESG ETF,$2.165,$0.032 / 1.50%,"490","$1,060.86","$37,265,444"
BGI,Blackwell Global Holdings Limited,$0.004,$0.000 / 0.00%,"1,493","$5.97","$2,695,036"
FWL,Foley Wines Limited,$1.330,-$0.020 / -1.48%,"538","$715.54","$87,429,077"
